schema_name,table_name,column_name,data_type,is_primary_key,is_foreign_key,references,description,business_synonyms,sample_values,relevance_tier,sensitive_flag
campaign,campaign_channels,channel_id,INT,Y,N,,Unique identifier for a marketing channel,channel id,1; 2; 3,medium,N
campaign,campaign_channels,channel_name,VARCHAR(50),N,N,,Name of the marketing channel,channel; medium,Instagram Ads; Email Blast,high,N
campaign,campaign_channels,channel_type,VARCHAR(30),N,N,,Category the channel belongs to,channel category; medium type,Digital; Social; Email; Print; TV,medium,N
campaign,campaigns,campaign_id,INT,Y,N,,Unique identifier for a campaign,campaign id,101; 102,medium,N
campaign,campaigns,campaign_name,VARCHAR(100),N,N,,Name/title of the marketing campaign,campaign; promo name,Summer Sale 2026; Diwali Push,high,N
campaign,campaigns,channel_id,INT,N,Y,campaign.campaign_channels.channel_id,Channel this campaign ran on,channel used,1; 2,medium,N
campaign,campaigns,start_date,DATE,N,N,,Date the campaign started,launch date; start,2026-06-01,high,N
campaign,campaigns,end_date,DATE,N,N,,Date the campaign ended,end date; wrap-up date,2026-06-30,high,N
campaign,campaigns,budget,"DECIMAL(12,2)",N,N,,Total budget allocated to the campaign,budget; spend limit,50000.00,high,N
campaign,campaigns,status,VARCHAR(20),N,N,,Current lifecycle status of the campaign,campaign status,Planned; Active; Paused; Completed,high,N
campaign,campaign_performance,perf_id,INT,Y,N,,Unique identifier for a performance record,record id,1,low,N
campaign,campaign_performance,campaign_id,INT,N,Y,campaign.campaigns.campaign_id,Campaign this performance row belongs to,campaign id,101,medium,N
campaign,campaign_performance,perf_date,DATE,N,N,,Date the performance metrics were recorded,date; day,2026-06-05,high,N
campaign,campaign_performance,impressions,INT,N,N,,Number of times the campaign was shown,impressions; views,15000,high,N
campaign,campaign_performance,clicks,INT,N,N,,Number of clicks the campaign received,clicks; click count,320,high,N
campaign,campaign_performance,spend,"DECIMAL(10,2)",N,N,,Amount spent on that day for the campaign,daily spend; cost,450.75,high,N
customer,customers,customer_id,INT,Y,N,,Unique identifier for a customer,customer id; client id,1001,high,N
customer,customers,first_name,VARCHAR(50),N,N,,Customer's first name,first name,Ravi,medium,Y
customer,customers,last_name,VARCHAR(50),N,N,,Customer's last name,last name; surname,Kumar,medium,Y
customer,customers,email,VARCHAR(100),N,N,,Customer's email address,email; contact email,ravi.kumar@example.com,low,Y
customer,customers,phone,VARCHAR(20),N,N,,Customer's phone number,phone; contact number,+91-9876543210,low,Y
customer,customers,signup_date,DATE,N,N,,Date the customer registered,signup date; join date; registration date,2024-03-12,high,N
customer,customers,city,VARCHAR(50),N,N,,City the customer lives in,city; location,Bengaluru,high,N
customer,customers,state,VARCHAR(50),N,N,,State the customer lives in,state; region,Karnataka,high,N
customer,customers,country,VARCHAR(50),N,N,,Country the customer lives in,country,India,medium,N
customer,customer_segments,segment_id,INT,Y,N,,Unique identifier for a customer segment,segment id,1,low,N
customer,customer_segments,segment_name,VARCHAR(50),N,N,,Name of the customer segment,segment; cohort,High Value; At Risk; New,high,N
customer,customer_segments,criteria_description,VARCHAR(255),N,N,,Plain-English rule defining the segment,segment criteria,Spent over 50000 in last 90 days,low,N
customer,customer_segment_map,customer_id,INT,Y,Y,customer.customers.customer_id,Customer assigned to a segment,customer id,1001,medium,N
customer,customer_segment_map,segment_id,INT,Y,Y,customer.customer_segments.segment_id,Segment the customer belongs to,segment id,1,medium,N
customer,customer_segment_map,assigned_date,DATE,N,N,,Date the customer was assigned to the segment,assigned date,2026-01-15,low,N
products,product_categories,category_id,INT,Y,N,,Unique identifier for a product category,category id,1,low,N
products,product_categories,category_name,VARCHAR(50),N,N,,Name of the product category,category; product type,Electronics; Apparel; Groceries,high,N
products,products,product_id,INT,Y,N,,Unique identifier for a product,product id; SKU id,5001,high,N
products,products,product_name,VARCHAR(100),N,N,,Name of the product,product; item name,Wireless Earbuds X200,high,N
